SlateID,Site,ContestType,LineupNum,AvgProfit,AvgPayout,ROI,WinRate,Top10Rate,ITMRate,AvgRank,MedianRank,BestRank,WorstRank
25439,draftkings,classic,2601,-3.24,16.76,-16.19,0,0.03,14.26,2720.5,2788,4,5000
25439,draftkings,classic,3382,-3.25,16.75,-16.24,0,0,17.47,2352,2295,12,5000
25439,draftkings,classic,874,-3.26,16.74,-16.31,0,0.06,12.61,2832.3,2949,4,5000
25439,draftkings,classic,236,-3.26,16.74,-16.28,0,0.01,14.49,2916.5,3072,8,5001
25439,draftkings,classic,363,-3.28,16.72,-16.41,0,0.02,15.22,2425.6,2403,5,4990
25439,draftkings,classic,4288,-3.3,16.7,-16.49,0,0,15.04,2577.3,2589,13,4996
25439,draftkings,classic,3058,-3.31,16.69,-16.56,0,0.01,15.57,2428.2,2387,8,4991
25439,draftkings,classic,3437,-3.32,16.68,-16.58,0,0.01,16.32,2410.9,2379,5,5000
25439,draftkings,classic,1870,-3.34,16.66,-16.71,0,0.01,15.48,2410.8,2387,7,4991
25439,draftkings,classic,4023,-3.38,16.62,-16.9,0,0.02,13.91,2643.5,2692,3,5001
25439,draftkings,classic,4797,-3.38,16.62,-16.89,0,0.03,15.99,2381.2,2332,5,4997
25439,draftkings,classic,29,-3.41,16.59,-17.07,0,0,16.38,2409.5,2366,11,4993
25439,draftkings,classic,4175,-3.43,16.57,-17.17,0,0.02,15.61,2510,2523,6,4996
25439,draftkings,classic,3388,-3.45,16.55,-17.27,0,0,15.9,2467.8,2459,13,5000
25439,draftkings,classic,2086,-3.46,16.54,-17.3,0,0.04,14.29,2682.2,2732,6,4997
25439,draftkings,classic,1823,-3.47,16.53,-17.34,0,0.03,13.55,2565.6,2588,2,4998
25439,draftkings,classic,4297,-3.48,16.52,-17.42,0.01,0.01,13.38,2719,2799,1,5000
25439,draftkings,classic,4990,-3.5,16.5,-17.5,0,0,16.29,2541.5,2532,23,5000
25439,draftkings,classic,2571,-3.5,16.5,-17.5,0,0.03,13.37,2739.7,2829,5,5000
25439,draftkings,classic,1024,-3.5,16.5,-17.5,0,0.01,14.69,2480.7,2504,7,4995
25439,draftkings,classic,577,-3.52,16.48,-17.61,0,0.05,13.62,2592.7,2596,5,4999
25439,draftkings,classic,992,-3.52,16.48,-17.6,0,0.03,13.52,2713.9,2784,3,5000
25439,draftkings,classic,1509,-3.53,16.47,-17.64,0,0.01,14.83,2663,2729,8,4999
25439,draftkings,classic,560,-3.53,16.47,-17.63,0,0.01,15.74,2535,2530,8,4991
25439,draftkings,classic,3465,-3.54,16.46,-17.68,0,0.01,15.47,2476.8,2466,10,4996
25439,draftkings,classic,1971,-3.55,16.45,-17.77,0,0,16.35,2351,2300,21,4992
25439,draftkings,classic,1053,-3.55,16.45,-17.77,0,0.03,15.3,2503,2499,5,4998
25439,draftkings,classic,1962,-3.56,16.44,-17.79,0,0.01,15.01,2841.3,2965,7,5001
25439,draftkings,classic,3354,-3.56,16.44,-17.8,0,0.02,14.27,2558.3,2583,4,4991
25439,draftkings,classic,76,-3.58,16.42,-17.91,0,0.03,13.69,2508.7,2506,2,4997
